function	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
RXN66-476	643.2	585.5	306.79	2114.14	178.0	6646.89	559.81	1658.5	6284.83	5053.0	968.64	1277.13	1975.25	244.13
RXN66-477	18278.43	13113.53	18395.04	14272.04	10363.91	34877.270000000004	13156.14	9426.96	27037.38	21626.13	11022.32	11550.89	11598.3	13926.62
RXN66-478	1429.3200000000002	847.0	753.62	4445.6	440.58	19315.02	1227.07	3743.81	19402.62	24568.16	3136.86	5798.0	6713.289999999999	1318.43
RXN66-479	643.2	585.5	306.79	2114.14	178.0	6646.89	559.81	1658.5	6284.83	5053.0	968.64	1277.13	1975.25	244.13
RXN66-480	18278.43	13113.53	18395.04	14272.04	10363.91	34877.270000000004	13156.14	9426.96	27037.38	21626.13	11022.32	11550.89	11598.3	13926.62
RXN66-483	18278.43	13113.53	18395.04	14272.04	10363.91	34877.270000000004	13156.14	9426.96	27037.38	21626.13	11022.32	11550.89	11598.3	13926.62
RXN66-484	18278.43	13113.53	18395.04	14272.04	10363.91	34877.270000000004	13156.14	9426.96	27037.38	21626.13	11022.32	11550.89	11598.3	13926.62
RXN66-534	18.0	2.0	0.0	0.0	3.0	5893.58	21.78	253.0	5998.35	4808.75	744.0	695.0	424.88	332.0
RXN66-546	6651.65	4881.03	5995.97	7269.629999999999	3359.08	11052.61	5330.09	5111.9400000000005	9436.43	9909.58	5422.8	6198.46	7092.139999999999	5076.47
RXN66-550	33.0	0.0	48.0	0.0	0.0	0.0	0.0	10.0	0.0	0.75	24.0	17.0	1.75	0.0
RXN66-562	18.0	2.0	0.0	0.0	3.0	5893.58	21.78	253.0	5998.35	4808.75	744.0	695.0	424.88	332.0
RXN66-579	3739.83	1433.0	4077.18	2391.58	2194.5	2332.16	1824.5	1074.3300000000002	531.4300000000001	371.92	1178.83	1323.25	1267.41	2722.59
RXN66-589	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN66-591	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN66-595	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN66-596	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN66-597	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN66-598	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN66-599	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN66-600	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN66-634	6332.45	4706.7	5908.47	6872.549999999999	3294.83	4376.74	4840.67	4655.08	2660.58	4594.92	4365.1900000000005	5714.58	6149.49	4630.84
RXN6666-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	2.0	1.0	61.0	8.879999999999999	0.0
