sample-id	country	group	age_group
10BF	Burkina_Faso	BF	child
11BF	Burkina_Faso	BF	child
12BF	Burkina_Faso	BF	child
13BF	Burkina_Faso	BF	child
15BF	Burkina_Faso	BF	child
16BF	Burkina_Faso	BF	child
17BF	Burkina_Faso	BF	child
2BF	Burkina_Faso	BF	child
3BF	Burkina_Faso	BF	child
4BF	Burkina_Faso	BF	child
6BF	Burkina_Faso	BF	child
7BF	Burkina_Faso	BF	child
8BF	Burkina_Faso	BF	child
9BF	Burkina_Faso	BF	child
