Feature ID	Taxon	Confidence
61e99205bdc837113eb0d0e6e5080fc2	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group;s__	0.9206482578736066
ef6735b3e98d9d2934370bf8ccb79401	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	0.8199756698805075
56df1c6f52a8ef1b2129e3482b018608	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__	0.9900457612394525
0997fa5cb5d92d5028f3b566ea4ee348	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.9963035170189144
9295944968e34185243493eb410f5a03	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__	0.9853654757486335
1e17808f491dfac99c4108e4f55ed6ca	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__uncultured;s__	0.936438405853577
cc3238130741cba5972af0a4b44d4903	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9;s__	0.8923075701295959
3b32763cc4a8f92000563c8669f418ca	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;s__	0.9387166594395799
31939b0cdd029b1773275dbbc5ae85bf	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.9999799989226836
27489d839f7742c19b3506614483fdd7	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__	0.7933986039686113
263e52670726b07f3a630fb63cc9eaef	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	0.9960005824001139
2e31f6eef65c5da4ab39a941542ce4d9	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__	0.9874208452151465
