run_accession	sample_accession	sample_alias	sample_title	fastq_ftp
SRR31227256	SAMN43511022	AG098	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/056/SRR31227256/SRR31227256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/056/SRR31227256/SRR31227256_2.fastq.gz
SRR31227257	SAMN43511021	AG097	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/057/SRR31227257/SRR31227257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/057/SRR31227257/SRR31227257_2.fastq.gz
SRR31227261	SAMN43511017	AG093	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/061/SRR31227261/SRR31227261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/061/SRR31227261/SRR31227261_2.fastq.gz
SRR31227262	SAMN43511016	AG092	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/062/SRR31227262/SRR31227262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/062/SRR31227262/SRR31227262_2.fastq.gz
SRR31227263	SAMN43510935	AG011	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/063/SRR31227263/SRR31227263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/063/SRR31227263/SRR31227263_2.fastq.gz
SRR31227267	SAMN43511012	AG088	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/067/SRR31227267/SRR31227267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/067/SRR31227267/SRR31227267_2.fastq.gz
SRR31227270	SAMN43511009	AG085	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/070/SRR31227270/SRR31227270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/070/SRR31227270/SRR31227270_2.fastq.gz
SRR31227272	SAMN43511007	AG083	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/072/SRR31227272/SRR31227272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/072/SRR31227272/SRR31227272_2.fastq.gz
SRR31227275	SAMN43510976	AG052	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/075/SRR31227275/SRR31227275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/075/SRR31227275/SRR31227275_2.fastq.gz
SRR31227277	SAMN43511425	AG502	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/077/SRR31227277/SRR31227277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/077/SRR31227277/SRR31227277_2.fastq.gz
SRR31227280	SAMN43511422	AG499	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/080/SRR31227280/SRR31227280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/080/SRR31227280/SRR31227280_2.fastq.gz
