run_accession	sample_accession	sample_alias	sample_title	fastq_ftp
SRR31227281	SAMN43511421	AG498	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/081/SRR31227281/SRR31227281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/081/SRR31227281/SRR31227281_2.fastq.gz
SRR31227284	SAMN43511418	AG495	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/084/SRR31227284/SRR31227284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/084/SRR31227284/SRR31227284_2.fastq.gz
SRR31227287	SAMN43510975	AG051	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/087/SRR31227287/SRR31227287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/087/SRR31227287/SRR31227287_2.fastq.gz
SRR31227291	SAMN43511412	AG489	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/091/SRR31227291/SRR31227291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/091/SRR31227291/SRR31227291_2.fastq.gz
SRR31227296	SAMN43511407	AG484	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/096/SRR31227296/SRR31227296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/096/SRR31227296/SRR31227296_2.fastq.gz
SRR31227300	SAMN43511404	AG481	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/000/SRR31227300/SRR31227300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/000/SRR31227300/SRR31227300_2.fastq.gz
SRR31227302	SAMN43511402	AG479	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/002/SRR31227302/SRR31227302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/002/SRR31227302/SRR31227302_2.fastq.gz
SRR31227305	SAMN43511399	AG476	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/005/SRR31227305/SRR31227305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/005/SRR31227305/SRR31227305_2.fastq.gz
SRR31227307	SAMN43511339	AG416	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/007/SRR31227307/SRR31227307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/007/SRR31227307/SRR31227307_2.fastq.gz
SRR31227311	SAMN43510967	AG043	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/011/SRR31227311/SRR31227311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/011/SRR31227311/SRR31227311_2.fastq.gz
SRR31227314	SAMN43511333	AG410	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/014/SRR31227314/SRR31227314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/014/SRR31227314/SRR31227314_2.fastq.gz
SRR31227315	SAMN43511332	AG409	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/015/SRR31227315/SRR31227315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/015/SRR31227315/SRR31227315_2.fastq.gz
SRR31227320	SAMN43511327	AG404	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/020/SRR31227320/SRR31227320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/020/SRR31227320/SRR31227320_2.fastq.gz
SRR31227322	SAMN43510966	AG042	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/022/SRR31227322/SRR31227322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/022/SRR31227322/SRR31227322_2.fastq.gz
SRR31227323	SAMN43510930	AG005	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/023/SRR31227323/SRR31227323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/023/SRR31227323/SRR31227323_2.fastq.gz
SRR31227327	SAMN43511322	AG399	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/027/SRR31227327/SRR31227327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/027/SRR31227327/SRR31227327_2.fastq.gz
SRR31227331	SAMN43511318	AG395	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/031/SRR31227331/SRR31227331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/031/SRR31227331/SRR31227331_2.fastq.gz
SRR31227336	SAMN43511314	AG391	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/036/SRR31227336/SRR31227336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/036/SRR31227336/SRR31227336_2.fastq.gz
SRR31227342	SAMN43511250	AG327	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/042/SRR31227342/SRR31227342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/042/SRR31227342/SRR31227342_2.fastq.gz
SRR31227343	SAMN43511249	AG326	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/043/SRR31227343/SRR31227343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/043/SRR31227343/SRR31227343_2.fastq.gz
SRR31227344	SAMN43511248	AG325	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/044/SRR31227344/SRR31227344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/044/SRR31227344/SRR31227344_2.fastq.gz
SRR31227345	SAMN43511247	AG324	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/045/SRR31227345/SRR31227345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/045/SRR31227345/SRR31227345_2.fastq.gz
SRR31227348	SAMN43511245	AG322	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/048/SRR31227348/SRR31227348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/048/SRR31227348/SRR31227348_2.fastq.gz
SRR31227349	SAMN43511244	AG321	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/049/SRR31227349/SRR31227349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/049/SRR31227349/SRR31227349_2.fastq.gz
SRR31227352	SAMN43511241	AG318	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/052/SRR31227352/SRR31227352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/052/SRR31227352/SRR31227352_2.fastq.gz
SRR31227353	SAMN43511240	AG317	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/053/SRR31227353/SRR31227353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/053/SRR31227353/SRR31227353_2.fastq.gz
SRR31227354	SAMN43511239	AG316	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/054/SRR31227354/SRR31227354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/054/SRR31227354/SRR31227354_2.fastq.gz
SRR31227357	SAMN43511236	AG313	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/057/SRR31227357/SRR31227357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/057/SRR31227357/SRR31227357_2.fastq.gz
SRR31227360	SAMN43511234	AG311	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/060/SRR31227360/SRR31227360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/060/SRR31227360/SRR31227360_2.fastq.gz
SRR31227363	SAMN43511231	AG308	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/063/SRR31227363/SRR31227363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/063/SRR31227363/SRR31227363_2.fastq.gz
SRR31227367	SAMN43511227	AG303	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/067/SRR31227367/SRR31227367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/067/SRR31227367/SRR31227367_2.fastq.gz
SRR31227370	SAMN43511196	AG272	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/070/SRR31227370/SRR31227370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/070/SRR31227370/SRR31227370_2.fastq.gz
SRR31227378	SAMN43511189	AG265	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/078/SRR31227378/SRR31227378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/078/SRR31227378/SRR31227378_2.fastq.gz
SRR31227383	SAMN43511185	AG261	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/083/SRR31227383/SRR31227383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/083/SRR31227383/SRR31227383_2.fastq.gz
SRR31227384	SAMN43511184	AG260	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/084/SRR31227384/SRR31227384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/084/SRR31227384/SRR31227384_2.fastq.gz
SRR31227390	SAMN43511178	AG254	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/090/SRR31227390/SRR31227390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/090/SRR31227390/SRR31227390_2.fastq.gz
SRR31227398	SAMN43511171	AG247	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/098/SRR31227398/SRR31227398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/098/SRR31227398/SRR31227398_2.fastq.gz
SRR31227400	SAMN43511169	AG245	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/000/SRR31227400/SRR31227400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/000/SRR31227400/SRR31227400_2.fastq.gz
SRR31227401	SAMN43511168	AG244	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/001/SRR31227401/SRR31227401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/001/SRR31227401/SRR31227401_2.fastq.gz
SRR31227407	SAMN43511451	AG528	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/007/SRR31227407/SRR31227407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/007/SRR31227407/SRR31227407_2.fastq.gz
SRR31227408	SAMN43511450	AG527	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/008/SRR31227408/SRR31227408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/008/SRR31227408/SRR31227408_2.fastq.gz
SRR31227412	SAMN43511446	AG523	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/012/SRR31227412/SRR31227412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/012/SRR31227412/SRR31227412_2.fastq.gz
SRR31227414	SAMN43511445	AG522	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/014/SRR31227414/SRR31227414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/014/SRR31227414/SRR31227414_2.fastq.gz
SRR31227415	SAMN43511444	AG521	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/015/SRR31227415/SRR31227415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/015/SRR31227415/SRR31227415_2.fastq.gz
SRR31227416	SAMN43511443	AG520	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/016/SRR31227416/SRR31227416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/016/SRR31227416/SRR31227416_2.fastq.gz
SRR31227417	SAMN43511442	AG519	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/017/SRR31227417/SRR31227417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/017/SRR31227417/SRR31227417_2.fastq.gz
SRR31227420	SAMN43511439	AG516	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/020/SRR31227420/SRR31227420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/020/SRR31227420/SRR31227420_2.fastq.gz
SRR31227422	SAMN43511437	AG514	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/022/SRR31227422/SRR31227422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/022/SRR31227422/SRR31227422_2.fastq.gz
SRR31227432	SAMN43511428	AG505	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/032/SRR31227432/SRR31227432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/032/SRR31227432/SRR31227432_2.fastq.gz
SRR31227437	SAMN43511366	AG443	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/037/SRR31227437/SRR31227437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/037/SRR31227437/SRR31227437_2.fastq.gz
SRR31227443	SAMN43511361	AG438	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/043/SRR31227443/SRR31227443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/043/SRR31227443/SRR31227443_2.fastq.gz
SRR31227445	SAMN43511359	AG436	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/045/SRR31227445/SRR31227445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/045/SRR31227445/SRR31227445_2.fastq.gz
SRR31227450	SAMN43511355	AG432	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/050/SRR31227450/SRR31227450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/050/SRR31227450/SRR31227450_2.fastq.gz
SRR31227453	SAMN43511352	AG429	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/053/SRR31227453/SRR31227453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/053/SRR31227453/SRR31227453_2.fastq.gz
SRR31227462	SAMN43511344	AG421	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/062/SRR31227462/SRR31227462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/062/SRR31227462/SRR31227462_2.fastq.gz
SRR31227467	SAMN43511282	AG359	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/067/SRR31227467/SRR31227467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/067/SRR31227467/SRR31227467_2.fastq.gz
SRR31227469	SAMN43511280	AG357	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/069/SRR31227469/SRR31227469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/069/SRR31227469/SRR31227469_2.fastq.gz
SRR31227470	SAMN43511279	AG356	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/070/SRR31227470/SRR31227470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/070/SRR31227470/SRR31227470_2.fastq.gz
SRR31227471	SAMN43511278	AG355	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/071/SRR31227471/SRR31227471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/071/SRR31227471/SRR31227471_2.fastq.gz
SRR31227472	SAMN43511277	AG354	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/072/SRR31227472/SRR31227472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/072/SRR31227472/SRR31227472_2.fastq.gz
SRR31227477	SAMN43511273	AG350	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/077/SRR31227477/SRR31227477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/077/SRR31227477/SRR31227477_2.fastq.gz
SRR31227478	SAMN43511272	AG349	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/078/SRR31227478/SRR31227478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/078/SRR31227478/SRR31227478_2.fastq.gz
SRR31227480	SAMN43511270	AG347	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/080/SRR31227480/SRR31227480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/080/SRR31227480/SRR31227480_2.fastq.gz
SRR31227481	SAMN43511269	AG346	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/081/SRR31227481/SRR31227481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/081/SRR31227481/SRR31227481_2.fastq.gz
SRR31227482	SAMN43511268	AG345	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/082/SRR31227482/SRR31227482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/082/SRR31227482/SRR31227482_2.fastq.gz
SRR31227484	SAMN43511266	AG343	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/084/SRR31227484/SRR31227484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/084/SRR31227484/SRR31227484_2.fastq.gz
SRR31227491	SAMN43511260	AG337	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/091/SRR31227491/SRR31227491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/091/SRR31227491/SRR31227491_2.fastq.gz
SRR31227495	SAMN43511256	AG333	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/095/SRR31227495/SRR31227495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/095/SRR31227495/SRR31227495_2.fastq.gz
SRR31227500	SAMN43511136	AG212	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/000/SRR31227500/SRR31227500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/000/SRR31227500/SRR31227500_2.fastq.gz
SRR31227503	SAMN43511134	AG210	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/003/SRR31227503/SRR31227503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/003/SRR31227503/SRR31227503_2.fastq.gz
SRR31227507	SAMN43511130	AG206	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/007/SRR31227507/SRR31227507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/007/SRR31227507/SRR31227507_2.fastq.gz
SRR31227511	SAMN43511126	AG202	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/011/SRR31227511/SRR31227511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/011/SRR31227511/SRR31227511_2.fastq.gz
SRR31227514	SAMN43511125	AG201	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/014/SRR31227514/SRR31227514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/014/SRR31227514/SRR31227514_2.fastq.gz
SRR31227522	SAMN43511117	AG193	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/022/SRR31227522/SRR31227522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/022/SRR31227522/SRR31227522_2.fastq.gz
SRR31227524	SAMN43510945	AG021	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/024/SRR31227524/SRR31227524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/024/SRR31227524/SRR31227524_2.fastq.gz
SRR31227530	SAMN43510934	AG010	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/030/SRR31227530/SRR31227530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/030/SRR31227530/SRR31227530_2.fastq.gz
SRR31227531	SAMN43511005	AG081	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/031/SRR31227531/SRR31227531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/031/SRR31227531/SRR31227531_2.fastq.gz
SRR31227532	SAMN43511004	AG080	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/032/SRR31227532/SRR31227532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/032/SRR31227532/SRR31227532_2.fastq.gz
SRR31227533	SAMN43511003	AG079	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/033/SRR31227533/SRR31227533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/033/SRR31227533/SRR31227533_2.fastq.gz
SRR31227535	SAMN43511001	AG077	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/035/SRR31227535/SRR31227535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/035/SRR31227535/SRR31227535_2.fastq.gz
SRR31227536	SAMN43511000	AG076	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/036/SRR31227536/SRR31227536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/036/SRR31227536/SRR31227536_2.fastq.gz
SRR31227538	SAMN43510998	AG074	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/038/SRR31227538/SRR31227538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/038/SRR31227538/SRR31227538_2.fastq.gz
