run_accession	sample_accession	sample_alias	sample_title	fastq_ftp
SRR13378621	SAMN17250448	bftm0801	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/021/SRR13378621/SRR13378621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/021/SRR13378621/SRR13378621_2.fastq.gz
SRR13378623	SAMN17250429	bftm0103	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/023/SRR13378623/SRR13378623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/023/SRR13378623/SRR13378623_2.fastq.gz
SRR13378625	SAMN17250445	bftm0701	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/025/SRR13378625/SRR13378625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/025/SRR13378625/SRR13378625_2.fastq.gz
SRR13378628	SAMN17250442	bftm0601	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/028/SRR13378628/SRR13378628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/028/SRR13378628/SRR13378628_2.fastq.gz
SRR13378631	SAMN17250439	bftm0501	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/031/SRR13378631/SRR13378631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/031/SRR13378631/SRR13378631_2.fastq.gz
SRR13378632	SAMN17250438	bftm0403	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/032/SRR13378632/SRR13378632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/032/SRR13378632/SRR13378632_2.fastq.gz
SRR13378546	SAMN17250436	bftm0401	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/046/SRR13378546/SRR13378546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/046/SRR13378546/SRR13378546_2.fastq.gz
SRR13378547	SAMN17250516	bftm3004	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/047/SRR13378547/SRR13378547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/047/SRR13378547/SRR13378547_2.fastq.gz
SRR13378551	SAMN17250512	bftm2904	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/051/SRR13378551/SRR13378551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/051/SRR13378551/SRR13378551_2.fastq.gz
SRR13378558	SAMN17250506	bftm2704	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/058/SRR13378558/SRR13378558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/058/SRR13378558/SRR13378558_2.fastq.gz
